incident_id,date,location,casualties
1,1939-10-15,Birmingham,6
2,1940-04-03,Manchester,12
3,1939-12-10,London,11
4,1939-09-20,Manchester,13
5,1939-09-24,Birmingham,8
6,1939-11-09,Liverpool,7
7,1940-03-05,Manchester,8
8,1939-12-20,Birmingham,11
9,1939-10-31,Manchester,13
10,1939-09-26,Coventry,7
11,1939-11-16,London,6
12,1940-02-16,Birmingham,6
13,1940-04-04,Birmingham,15
14,1940-02-15,Liverpool,11
15,1940-03-17,London,6
16,1939-12-22,Coventry,11
17,1939-12-10,Coventry,11
18,1940-03-16,London,13
19,1939-10-30,Coventry,13
20,1939-09-06,Liverpool,3
21,1940-01-12,London,8
22,1940-03-09,Liverpool,8
23,1939-10-27,London,7
24,1939-09-29,London,14
25,1940-02-16,Birmingham,10
26,1939-10-31,Coventry,5
27,1940-03-21,London,5
28,1939-11-17,London,10
29,1939-11-23,London,9
30,1939-12-28,Birmingham,8
31,1940-01-23,Coventry,7
32,1939-12-11,Birmingham,10
33,1940-01-18,Coventry,12
34,1939-12-27,Manchester,6
35,1939-11-03,Coventry,7
36,1939-09-17,Liverpool,4
37,1939-10-02,Manchester,10
38,1939-12-23,Birmingham,7
39,1940-04-22,Liverpool,7
40,1940-01-01,Manchester,11
41,1939-12-27,Birmingham,6
42,1939-09-30,London,10
43,1939-11-08,Birmingham,10
44,1940-03-12,London,10
45,1940-05-07,London,7
46,1939-12-19,Birmingham,11
47,1940-03-27,Birmingham,10
48,1940-04-11,Coventry,6
49,1939-12-15,Liverpool,8
50,1939-12-14,London,13
51,1940-01-05,Birmingham,12
52,1940-04-16,Coventry,11
53,1939-10-25,Manchester,14
54,1939-12-13,London,9
55,1939-12-26,Birmingham,3
56,1939-12-06,Manchester,13
57,1939-11-10,Coventry,9
58,1939-12-25,Birmingham,7
59,1940-01-23,Manchester,8
60,1939-11-22,Liverpool,5
61,1940-04-10,Coventry,6
62,1939-11-16,Coventry,10
63,1939-12-12,Liverpool,7
64,1939-12-21,Coventry,8
65,1940-01-02,Manchester,7
66,1939-12-25,Birmingham,10
67,1939-12-16,Birmingham,8
68,1939-11-05,Birmingham,4
69,1939-12-31,Birmingham,10
70,1939-11-25,London,5
71,1940-04-26,London,10
72,1940-02-08,Coventry,15
73,1939-12-03,London,5
74,1940-01-05,Coventry,13
75,1940-02-15,Coventry,9
76,1940-01-25,Liverpool,9
77,1939-10-05,Manchester,5
78,1939-09-03,Manchester,6
79,1939-12-20,Birmingham,12
80,1939-09-11,Coventry,12
81,1939-09-23,Birmingham,6
82,1939-11-18,London,11
83,1939-11-14,Manchester,11
84,1939-09-29,London,6
85,1939-12-12,Birmingham,6
86,1939-11-29,Manchester,9
87,1940-02-26,Birmingham,8
88,1939-11-12,Coventry,12
89,1940-03-11,Manchester,10
90,1939-11-07,Coventry,11
91,1940-02-20,Coventry,6
92,1939-12-13,London,9
93,1940-04-23,London,7
94,1940-01-22,Coventry,13
95,1939-10-20,Birmingham,5
96,1940-03-29,Birmingham,10
97,1939-11-29,London,11
98,1939-10-04,Manchester,9
99,1939-09-11,Manchester,11
100,1940-01-07,London,6
101,1939-12-13,Birmingham,8
102,1939-09-11,Manchester,8
103,1939-09-14,Coventry,6
104,1939-09-20,Coventry,9
105,1939-10-16,Coventry,6
106,1939-12-13,Birmingham,8
107,1940-04-22,London,14
108,1940-04-04,London,11
109,1939-09-12,Liverpool,13
110,1940-04-14,Liverpool,12
111,1940-01-23,Coventry,9
112,1940-03-18,Liverpool,7
113,1939-12-28,London,15
114,1940-04-16,London,12
115,1940-04-13,Coventry,9
116,1939-10-12,London,8
117,1939-09-20,Manchester,9
118,1940-03-30,Coventry,11
119,1939-10-11,Manchester,13
120,1939-12-21,Birmingham,8
121,1939-09-13,London,11
122,1940-01-11,Coventry,14
123,1940-04-06,Liverpool,10
124,1939-11-27,Coventry,7
125,1939-10-05,Liverpool,12
126,1939-12-25,Manchester,13
127,1939-09-14,Birmingham,12
128,1939-09-10,Coventry,3
129,1940-01-22,Liverpool,10
130,1939-12-16,Manchester,10
131,1940-04-20,Liverpool,9
132,1939-12-23,Coventry,8
133,1940-01-03,Coventry,9
134,1939-11-27,Birmingham,7
135,1939-09-17,Coventry,10
136,1939-12-31,Manchester,8
137,1940-01-26,Coventry,8
138,1940-03-24,Birmingham,8
139,1940-02-19,Birmingham,9
140,1939-11-15,Coventry,10
141,1939-11-07,London,8
142,1940-03-28,Birmingham,6
143,1939-12-27,Manchester,8
144,1940-03-21,Birmingham,4
145,1940-02-28,Birmingham,10
146,1940-03-07,Birmingham,8
147,1940-02-23,Coventry,8
148,1939-11-02,Birmingham,9
149,1939-10-06,London,13
150,1939-10-11,Birmingham,7
151,1939-09-21,Manchester,5
152,1940-02-11,Birmingham,9
153,1940-01-26,Manchester,7
154,1940-04-17,Manchester,4
155,1939-12-18,Liverpool,13
156,1939-10-13,London,3
157,1939-11-05,London,6
158,1939-10-29,Liverpool,9
159,1939-10-28,Birmingham,10
160,1940-04-15,Liverpool,15
161,1939-09-10,Coventry,10
162,1940-02-22,Manchester,15
163,1939-10-03,Manchester,13
164,1940-03-13,Liverpool,10
165,1940-02-25,Coventry,10
166,1940-01-05,Coventry,7
167,1940-04-22,Liverpool,7
168,1940-03-13,Manchester,7
169,1939-09-12,Coventry,6
170,1940-04-07,London,8
171,1940-01-30,Manchester,11
172,1939-10-16,Liverpool,10
173,1939-11-10,London,9
174,1940-05-06,Liverpool,8
175,1939-12-30,Liverpool,10
176,1940-05-06,Liverpool,7
177,1940-03-06,Birmingham,12
178,1940-03-21,Coventry,12
179,1939-11-16,London,6
180,1940-01-06,Liverpool,8
181,1940-01-05,London,12
182,1940-04-12,Birmingham,7
183,1939-10-12,Birmingham,12
184,1939-10-02,Coventry,7
185,1940-01-24,Birmingham,8
186,1939-10-10,London,8
187,1939-11-01,Manchester,15
188,1940-02-23,Manchester,7
189,1939-09-12,Manchester,11
190,1940-03-09,Coventry,3
191,1939-09-25,London,9
192,1940-02-20,Liverpool,10
193,1939-09-19,Manchester,11
194,1940-05-02,Coventry,4
195,1940-01-17,Manchester,14
196,1939-09-20,Coventry,13
197,1939-11-04,Manchester,12
198,1940-02-16,Coventry,6
199,1940-04-08,Liverpool,8
200,1939-10-05,Liverpool,2
201,1939-09-14,Birmingham,12
202,1940-04-05,Liverpool,6
203,1940-01-09,Coventry,10
204,1940-02-07,London,8
205,1939-11-17,Manchester,7
206,1940-05-06,Liverpool,8
207,1939-09-22,Liverpool,11
208,1939-09-04,Birmingham,7
209,1939-10-14,London,9
210,1939-10-24,Manchester,8
211,1940-02-05,Manchester,10
212,1939-12-15,Coventry,11
213,1939-11-08,Manchester,11
214,1940-02-15,Birmingham,3
215,1940-03-11,Manchester,9
216,1939-12-25,Coventry,5
217,1940-04-08,London,13
218,1939-11-21,Manchester,9
219,1940-03-26,Birmingham,11
220,1940-01-15,Coventry,13
221,1939-12-15,Manchester,9
222,1939-12-19,Birmingham,7
223,1939-10-04,Manchester,9
224,1940-02-08,Birmingham,10
225,1940-01-22,Liverpool,8
226,1940-04-16,Coventry,10
227,1939-11-19,Liverpool,3
228,1939-09-17,Coventry,7
229,1940-04-24,Liverpool,11
230,1940-03-27,Birmingham,6
231,1940-02-06,Birmingham,6
232,1940-04-09,Coventry,6
233,1939-12-22,Liverpool,6
234,1940-03-19,Manchester,15
235,1939-09-17,London,7
236,1940-03-26,London,5
237,1940-04-09,Coventry,5
238,1940-02-28,Coventry,5
239,1939-11-23,Manchester,9
240,1939-11-04,Manchester,8
241,1940-03-24,Manchester,10
242,1940-01-03,Manchester,7
243,1940-03-24,London,10
244,1939-10-07,Birmingham,7
245,1940-01-05,Birmingham,10
246,1939-11-12,Coventry,7
247,1940-01-30,Coventry,11
248,1939-11-06,Birmingham,6
249,1939-09-11,London,4
250,1940-04-09,Manchester,7
251,1940-03-01,Birmingham,12
252,1940-01-18,London,6
253,1939-11-19,Coventry,9
254,1939-12-10,London,11
255,1940-02-23,Liverpool,9
256,1940-04-26,Liverpool,8
257,1940-04-22,London,9
258,1940-03-11,Coventry,16
259,1939-12-17,Birmingham,14
260,1940-02-28,Birmingham,7
261,1940-01-16,Liverpool,11
262,1939-12-07,Coventry,5
263,1940-01-21,Birmingham,9
264,1940-04-02,Coventry,10
265,1939-11-22,London,15
266,1939-12-04,Coventry,11
267,1940-03-31,Liverpool,10
268,1940-02-24,Coventry,12
269,1940-03-11,Coventry,9
270,1940-01-05,London,13
