casualty_group,killed,injured,total_casualties,proportion_killed
1,0,0,0,NA
2,0,0,0,NA
3,0,0,0,NA
4,0,0,0,NA
5,0,0,0,NA
6,0,0,0,NA
7,0,0,0,NA
8,0,0,0,NA
9,0,0,0,NA
10,0,0,0,NA
11,0,0,0,NA
12,0,0,0,NA
13,0,0,0,NA
14,0,0,0,NA
15,0,0,0,NA
16,0,0,0,NA
17,0,0,0,NA
18,0,0,0,NA
19,0,0,0,NA
20,0,0,0,NA
21,0,0,0,NA
22,0,0,0,NA
23,0,0,0,NA
24,0,0,0,NA
25,0,0,0,NA
26,0,0,0,NA
27,0,0,0,NA
28,0,0,0,NA
29,0,0,0,NA
30,0,0,0,NA
31,0,0,0,NA
32,0,0,0,NA
33,0,0,0,NA
34,0,0,0,NA
35,0,0,0,NA
36,0,0,0,NA
37,0,0,0,NA
38,0,0,0,NA
39,0,1,1,0
40,0,0,0,NA
41,0,0,0,NA
42,0,0,0,NA
43,0,0,0,NA
44,0,0,0,NA
45,0,0,0,NA
46,0,0,0,NA
47,0,0,0,NA
48,0,0,0,NA
49,0,0,0,NA
50,0,0,0,NA
51,0,0,0,NA
52,0,0,0,NA
53,1,6,7,0.14285714285714285
54,0,1,1,0
55,0,3,3,0
56,0,1,1,0
57,0,1,1,0
58,0,0,0,NA
59,0,0,0,NA
60,0,0,0,NA
61,0,0,0,NA
62,0,8,8,0
63,0,0,0,NA
64,0,0,0,NA
65,0,0,0,NA
66,0,0,0,NA
67,0,0,0,NA
68,0,0,0,NA
69,0,0,0,NA
70,0,0,0,NA
71,0,0,0,NA
72,0,0,0,NA
73,0,0,0,NA
74,0,0,0,NA
75,0,2,2,0
76,0,0,0,NA
77,0,0,0,NA
78,0,0,0,NA
79,0,0,0,NA
80,0,0,0,NA
81,0,0,0,NA
82,0,0,0,NA
83,0,0,0,NA
84,0,0,0,NA
85,0,0,0,NA
86,0,0,0,NA
87,0,0,0,NA
88,0,1,1,0
89,NA,NA,1,NA
90,0,0,0,NA
91,0,0,0,NA
92,9,10,19,0.47368421052631576
93,1,12,13,0.07692307692307693
94,0,1,1,0
95,0,1,1,0
96,0,1,1,0
97,0,0,0,NA
98,0,1,1,0
99,0,0,0,NA
100,1,2,3,0.3333333333333333
101,0,0,0,NA
102,2,NA,2,1
103,1,9,10,0.1
104,0,3,3,0
105,NA,NA,9,NA
106,0,0,0,NA
107,0,0,0,NA
108,0,0,0,NA
109,2,6,8,0.25
110,0,0,0,NA
111,0,0,0,NA
112,0,0,0,NA
113,0,0,0,NA
114,0,0,0,NA
115,NA,NA,2,NA
116,3,NA,NA,NA
117,0,0,0,NA
118,0,0,0,NA
119,1,0,1,1
120,NA,NA,4,NA
121,0,0,0,NA
122,0,0,0,NA
123,0,0,0,NA
124,0,0,0,NA
125,0,0,0,NA
126,0,0,0,NA
127,0,0,0,NA
128,0,0,0,NA
129,NA,NA,10,NA
130,0,0,0,NA
131,0,0,0,NA
132,0,0,0,NA
133,0,0,0,NA
134,0,0,0,NA
135,0,0,0,NA
136,0,0,0,NA
137,0,1,1,0
138,0,0,0,NA
139,0,0,0,NA
140,0,0,0,NA
141,0,0,0,NA
142,0,0,0,NA
143,0,0,0,NA
144,0,0,0,NA
145,0,0,0,NA
146,0,0,0,NA
147,0,0,0,NA
148,0,0,0,NA
149,0,2,2,0
150,2,2,4,0.5
151,0,0,0,NA
152,0,0,0,NA
153,0,0,0,NA
154,0,0,0,NA
155,3,7,10,0.3
156,0,0,0,NA
157,0,0,0,NA
158,2,0,2,1
159,0,0,0,NA
160,0,0,0,NA
161,NA,NA,5,NA
162,0,0,0,NA
163,0,0,0,NA
164,0,0,0,NA
165,0,0,0,NA
166,0,0,0,NA
167,0,0,0,NA
168,0,0,0,NA
169,0,0,0,NA
170,0,0,0,NA
171,0,0,0,NA
172,0,0,0,NA
173,0,0,0,NA
174,0,0,0,NA
175,0,0,0,NA
176,0,NA,NA,NA
177,0,3,3,0
178,0,0,0,NA
179,0,0,0,NA
180,0,0,0,NA
181,0,0,0,NA
182,0,0,0,NA
183,0,0,0,NA
184,0,0,0,NA
185,0,0,0,NA
186,0,0,0,NA
187,0,0,0,NA
188,0,0,0,NA
189,0,0,0,NA
190,0,1,1,0
191,0,0,0,NA
192,0,0,0,NA
193,0,1,1,0
194,0,1,1,0
195,0,1,1,0
196,0,0,0,NA
197,0,2,2,0
198,6,NA,6,1
199,23,36,59,0.3898305084745763
200,0,0,0,NA
201,0,0,0,NA
202,0,0,0,NA
203,0,0,0,NA
204,0,0,0,NA
205,0,0,0,NA
206,0,0,0,NA
207,0,0,0,NA
208,0,1,1,0
209,0,0,0,NA
210,0,0,0,NA
211,0,0,0,NA
212,0,0,0,NA
213,0,0,0,NA
214,0,0,0,NA
215,0,0,0,NA
216,2,8,10,0.2
217,0,0,0,NA
218,0,0,0,NA
219,0,0,0,NA
220,0,0,0,NA
221,0,0,0,NA
222,0,0,0,NA
223,0,0,0,NA
224,0,0,0,NA
225,0,0,0,NA
226,0,0,0,NA
